Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total (g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Retinol (mcg),"Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)",Lycopene (mcg),Lutein + zeaxanthin (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)",Vitamin B-12 (mcg),"Vitamin B-12, added (mcg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added (mg)",Vitamin K (phylloquinone) (mcg),Calcium (mg),Phosphorus (mg),Magnesium (mg),Iron (mg),Zinc (mg),Copper (mg),Selenium (mcg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),4:0    (g),6:0    (g),8:0    (g),10:0    (g),12:0    (g),14:0    (g),16:0    (g),18:0    (g),16:1        (g),18:1    (g),20:1    (g),22:1    (g),18:2    (g),18:3    (g),18:4    (g),20:4    (g),20:5 n-3 (g),22:5 n-3 (g),22:6 n-3 (g),Water (g),Price
59,10.19,3.6,3.24,0.0,0.39,0.117,0.053,0.012,5,1,1,0,0,0,0,0,0.023,0.278,0.208,0.063,0,7,7,7,15.1,0.75,0.0,0.0,0.0,0.01,0.0,0.0,110,135,11,0.07,0.52,0.017,9.7,141,36,0,0,0.0,0.0,0.003,0.004,0.013,0.006,0.015,0.049,0.021,0.002,0.049,0.002,0.0,0.01,0.001,0.0,0.0,0.0,0.0,0.0,85.1,0.8113020000000001
87,3.1,12.36,9.92,0.1,2.87,1.845,0.79,0.081,11,24,24,0,4,0,0,0,0.027000000000000003,0.134,0.07,0.031,0,7,7,7,14.6,0.33,0.0,1.5,1.2,0.07,0.0,0.2,109,86,11,0.1,0.53,0.02,2.2,146,44,0,0,0.0,0.084,0.058,0.037000000000000005,0.08199999999999999,0.098,0.302,0.78,0.279,0.062,0.655,0.002,0.002,0.057,0.024,0.0,0.0,0.0,0.0,0.0,81.0,0.7642700000000001
89,4.66,14.46,12.01,0.1,1.37,0.8809999999999999,0.379,0.039,5,12,12,0,2,0,0,0,0.041,0.197,0.105,0.046,0,11,11,11,14.6,0.49,0.0,1.8,1.2,0.04,0.0,0.2,163,129,15,0.13,0.79,0.023,3.1,215,65,0,0,0.0,0.04,0.028,0.018000000000000002,0.039,0.047,0.14300000000000002,0.3720000000000001,0.133,0.03,0.312,0.002,0.002,0.027000000000000003,0.011,0.0,0.0,0.0,0.0,0.0,78.51,0.6702060000000002
83,5.09,15.02,12.58,0.1,0.17,0.103,0.048,0.004,2,2,2,0,0,0,0,0,0.044,0.215,0.113,0.049,0,12,12,12,14.6,0.54,0.0,1.8,1.2,0.01,0.0,0.2,177,140,17,0.14,0.86,0.025,3.4,234,72,0,0,0.0,0.004,0.004,0.002,0.004,0.005,0.017,0.044,0.016,0.004,0.037000000000000005,0.002,0.002,0.004,0.001,0.0,0.0,0.0,0.0,0.0,78.65,0.952398
106,7.33,12.29,12.0,0.0,3.0,1.599,1.265,0.219,10,45,46,0,7,0,0,7,0.046,0.235,0.205,0.049,0,5,5,5,14.3,0.5,0.0,0.0,0.9,0.07,0.0,0.3,100,109,10,0.0,0.41,0.019,9.6,113,37,0,0,0.0,0.06,0.046,0.031,0.084,0.081,0.254,0.746,0.25,0.042,0.573,0.005,0.0,0.092,0.011,0.0,0.004,0.0,0.002,0.0,76.81,0.564384
103,8.17,11.89,11.23,1.0,2.57,1.599,0.65,0.113,12,30,31,0,7,0,0,7,0.037000000000000005,0.235,0.205,0.049,0,9,9,9,14.0,0.5,0.0,0.7,0.9,0.02,0.0,0.0,88,109,10,0.07,0.41,0.019,9.6,129,33,0,0,0.0,0.06,0.046,0.031,0.084,0.081,0.254,0.746,0.25,0.042,0.573,0.005,0.0,0.092,0.011,0.0,0.004,0.0,0.002,0.0,76.81,0.952398
82,8.05,12.07,11.27,0.6,0.15,0.105,0.026,0.014,4,0,0,0,2,0,0,4,0.037000000000000005,0.253,0.213,0.05,0,20,20,20,14.0,0.49,0.0,0.3,0.9,0.02,0.0,0.0,97,113,10,0.09,0.45,0.019,9.4,132,33,0,0,0.0,0.006999999999999999,0.001,0.003,0.017,0.006,0.01,0.038,0.017,0.001,0.025,0.001,0.0,0.01,0.003,0.0,0.0,0.0,0.0,0.0,79.13,0.952398
84,3.36,15.86,11.68,1.1,1.01,0.525,0.307,0.122,3,29,30,0,12,0,0,12,0.07,0.173,0.7140000000000001,0.233,38,13,77,51,11.9,0.88,0.58,14.3,1.2,0.25,0.0,1.7,105,93,17,0.49,0.89,0.054000000000000006,3.9,189,49,0,0,0.0,0.021,0.014,0.009000000000000001,0.021,0.025,0.076,0.249,0.077,0.016,0.273,0.0,0.0,0.106,0.016,0.0,0.0,0.0,0.0,0.0,78.97,0.423288
67,3.39,13.46,9.32,0.0,0.0,0.0,0.0,0.0,2,63,64,0,11,0,0,0,0.045,0.166,0.16399999999999998,0.024,0,2,2,2,15.6,0.32,0.0,1.0,1.1,0.04,0.0,0.2,127,101,13,0.27,0.41,0.075,1.9,182,110,1,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.34,1.3404120000000002
62,3.46,9.86,9.94,0.1,1.0,0.584,0.541,0.095,5,51,52,0,2,0,0,0,0.031,0.247,0.124,0.047,0,3,3,3,17.0,0.23,0.0,0.4,1.1,0.0,0.0,0.1,129,96,13,0.23,0.43,0.028,1.9,172,65,1,12,0.0,0.019,0.013,0.008,0.022,0.025,0.09,0.268,0.12,0.015,0.248,0.003,0.0,0.039,0.006,0.0,0.002,0.001,0.001,0.0,84.91,0.399772
