Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total (g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Retinol (mcg),"Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)",Lycopene (mcg),Lutein + zeaxanthin (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)",Vitamin B-12 (mcg),"Vitamin B-12, added (mcg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added (mg)",Vitamin K (phylloquinone) (mcg),Calcium (mg),Phosphorus (mg),Magnesium (mg),Iron (mg),Zinc (mg),Copper (mg),Selenium (mcg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),4:0    (g),6:0    (g),8:0    (g),10:0    (g),12:0    (g),14:0    (g),16:0    (g),18:0    (g),16:1        (g),18:1    (g),20:1    (g),22:1    (g),18:2    (g),18:3    (g),18:4    (g),20:4    (g),20:5 n-3 (g),22:5 n-3 (g),22:6 n-3 (g),Water (g),Price
433,6.6,72.7,37.43,3.4,14.2,4.2410000000000005,4.865,4.1530000000000005,2,3,3,0,0,0,0,13,0.203,0.266,2.858,0.051,39,8,75,47,14.3,0.09,0.0,0.0,0.0,0.72,0.0,2.4,31,132,53,4.01,1.09,0.463,5.7,210,580,10,354,0.0,0.001,0.011,0.128,0.102,0.76,0.305,1.796,1.125,0.048,4.807,0.001,0.0,3.866,0.268,0.001,0.006,0.003,0.0,0.002,4.5,2.222262
460,3.02,61.22,45.16,5.1,22.55,20.099,1.61,0.81,0,0,0,0,0,0,0,0,0.02,0.06,0.22,0.096,0,3,3,3,9.1,0.0,0.0,0.0,0.0,0.19,0.0,1.1,5,68,29,0.82,0.73,0.269,6.8,123,241,0,0,0.0,0.0,0.128,1.58,1.256,10.009,3.953,1.987,1.186,0.004,1.606,0.0,0.0,0.762,0.048,0.0,0.0,0.0,0.0,0.0,11.5,1.0464620000000002
348,3.7,70.9,46.36,4.6,7.3,1.123,3.003,2.772,0,9,9,0,1,0,0,8,0.158,0.217,1.874,0.075,25,10,53,35,14.6,0.09,0.0,0.3,0.0,0.65,0.0,5.8,64,62,27,2.9,0.39,0.147,3.3,207,350,0,0,0.0,0.002,0.0,0.0,0.001,0.0,0.013,0.747,0.355,0.029,2.966,0.0,0.0,2.583,0.182,0.0,0.0,0.0,0.0,0.0,16.5,2.9277420000000003
378,4.2,84.0,45.42,1.6,2.7,0.669,1.345,0.466,2,1,1,0,0,0,0,3,0.182,0.13,1.84,0.013,56,10,105,66,6.0,0.01,0.0,0.0,0.0,0.03,0.0,1.1,12,35,7,1.44,0.17,0.06,2.9,41,31,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.378,0.276,0.008,1.337,0.001,0.0,0.438,0.024,0.0,0.003,0.0,0.0,0.001,8.0,1.3168959999999998
416,5.6,76.9,19.92,2.2,9.8,2.451,5.365,1.372,0,0,0,0,1,0,0,2,0.2,0.293,3.235,0.098,82,6,145,87,8.8,0.0,0.0,0.0,0.0,0.97,0.0,2.5,77,83,49,6.4,0.55,0.305,5.1,346,501,0,0,0.0,0.0,0.0,0.001,0.002,0.004,0.048,1.279,1.111,0.002,5.363,0.0,0.0,1.298,0.073,0.0,0.0,0.0,0.0,0.0,5.3,0.8465759999999999
464,9.8,66.7,27.52,3.1,17.6,12.69,1.933,1.634,0,0,8,0,91,0,0,107,0.28,0.11,1.75,0.35,0,81,81,81,27.6,0.0,0.0,1.0,0.0,0.82,0.0,15.9,60,277,101,3.18,1.6,0.36,16.0,326,251,0,0,0.0,0.0,0.081,1.005,0.802,6.135,2.357,1.7009999999999998,0.562,0.006999999999999999,1.926,0.001,0.0,1.574,0.011,0.0,0.0,0.0,0.0,0.0,4.1,1.6226040000000002
365,10.6,59.7,25.39,1.0,9.1,3.069,3.754,1.422,221,0,3,9,22,8,0,266,0.284,0.428,2.104,0.122,23,37,76,60,92.0,0.75,0.0,3.7,0.6,0.63,0.0,0.2,47,173,12,3.58,1.14,0.095,21.1,113,147,0,0,0.0,0.0,0.0,0.003,0.003,0.003,0.034,2.209,0.7709999999999999,0.293,3.422,0.027000000000000003,0.003,1.206,0.038,0.0,0.139,0.004,0.0,0.036000000000000004,19.5,0.717238
432,5.01,62.49,42.1,0.8,18.62,3.739,8.693,5.459,68,187,198,0,126,2,0,97,0.171,0.211,1.39,0.046,28,13,60,40,48.4,0.15,0.0,3.5,0.7,2.07,0.0,19.3,42,75,9,1.6,0.42,0.055,14.6,65,226,0,0,0.0,0.001,0.0,0.001,0.002,0.0,0.016,2.182,1.421,0.046,8.606,0.032,0.0,4.966,0.435,0.0,0.034,0.0,0.003,0.011,12.88,1.140526
460,3.02,61.22,45.16,5.1,22.55,20.099,1.61,0.81,0,0,0,0,0,0,0,0,0.02,0.06,0.22,0.096,0,3,3,3,9.1,0.0,0.0,0.0,0.0,0.19,0.0,1.1,5,68,29,0.82,0.73,0.269,6.8,123,241,0,0,0.0,0.0,0.128,1.58,1.256,10.009,3.953,1.987,1.186,0.004,1.606,0.0,0.0,0.762,0.048,0.0,0.0,0.0,0.0,0.0,11.5,2.716098
430,5.6,73.8,17.6,1.0,12.8,3.212,7.13,1.729,0,0,0,0,0,0,0,2,0.355,0.264,3.031,0.104,82,7,146,89,8.4,0.0,0.0,0.0,0.0,0.11,0.0,5.5,74,95,52,6.43,0.45,0.373,5.6,346,459,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,1.666,1.48,0.002,7.127999999999999,0.0,0.0,1.641,0.08800000000000001,0.0,0.0,0.0,0.0,0.0,5.8,1.35217
450,6.2,68.7,24.66,2.8,18.1,4.519,10.025,2.543,0,5,5,0,0,0,0,31,0.267,0.23,2.227,0.066,52,7,95,59,12.0,0.0,0.0,0.5,0.0,0.26,0.0,8.0,37,138,33,2.58,0.79,0.134,9.8,142,383,0,0,0.0,0.0,0.0,0.0,0.0,0.003,0.086,2.383,2.031,0.003,10.022,0.0,0.0,2.4130000000000003,0.129,0.0,0.0,0.0,0.0,0.0,5.7,1.41096
473,8.92,58.15,28.58,2.1,23.82,6.751,10.8,3.61,27,9,9,0,1,0,0,14,0.208,0.208,3.86,0.122,30,27,78,57,10.0,0.04,0.0,0.0,0.0,3.53,0.0,4.4,41,156,44,2.11,0.86,0.153,6.3,202,463,0,0,0.0,0.0,0.0,0.0,0.0,0.017,0.083,4.475,1.513,0.026,10.625,0.13,0.008,3.503,0.08800000000000001,0.0,0.012,0.004,0.0,0.0,7.28,0.540868
237,1.9,34.0,15.65,1.6,11.0,3.797,4.388,2.198,0,31,32,0,9,6,0,9,0.028,0.027000000000000003,0.263,0.038,23,4,43,27,7.2,0.01,0.0,3.2,0.0,1.52,0.0,3.5,11,24,7,0.45,0.16,0.046,1.0,65,201,0,0,0.0,0.0,0.0,0.0,0.0,0.021,0.126,2.062,1.534,0.146,4.109,0.0,0.0,2.066,0.123,0.0,0.0,0.0,0.0,0.0,52.2,0.5526260000000001
242,1.8,39.01,24.15,1.1,9.27,2.25,3.795,2.642,0,7,8,0,12,5,0,10,0.104,0.08800000000000001,0.9,0.023,16,3,31,19,3.3,0.0,0.0,1.5,0.0,0.62,0.0,5.6,6,23,6,0.81,0.14,0.04,5.7,56,197,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,1.145,1.007,0.002,3.784,0.009000000000000001,0.0,2.46,0.182,0.0,0.0,0.0,0.0,0.0,49.24,0.6584479999999999
210,5.5,20.8,11.58,1.6,11.6,2.349,4.797,3.723,33,57,57,0,9,1,0,50,0.039,0.208,0.292,0.048,0,20,20,20,38.0,0.43,0.0,0.6,0.8,0.94,0.0,3.2,80,112,11,0.58,0.52,0.024,7.1,106,275,0,0,0.0,0.024,0.011,0.008,0.018000000000000002,0.019,0.08800000000000001,1.469,0.685,0.099,4.673,0.004,0.0,3.438,0.249,0.0,0.021,0.001,0.0,0.006,60.9,0.787786
267,4.61,38.65,27.84,0.4,10.82,2.612,4.595,3.0010000000000003,54,54,56,0,28,2,0,74,0.101,0.206,0.691,0.047,13,11,32,23,42.0,0.3,0.0,3.1,0.3,0.9,0.0,7.0,68,89,10,0.85,0.47,0.038,10.0,114,236,0,0,0.0,0.002,0.0,0.001,0.003,0.001,0.021,1.44,1.06,0.033,4.543,0.014,0.0,2.75,0.207,0.0,0.027000000000000003,0.0,0.001,0.008,44.85,0.564384
293,7.65,34.08,18.63,1.1,14.63,3.824,6.351,3.557,40,46,46,0,2,1,0,51,0.155,0.251,2.614,0.096,19,20,53,39,40.1,0.29,0.0,0.0,0.9,1.62,0.0,3.5,83,132,32,1.25,0.81,0.094,11.4,183,314,0,0,0.0,0.035,0.026,0.021,0.03,0.03,0.123,1.895,1.18,0.032,6.169,0.079,0.006,3.352,0.14400000000000002,0.0,0.02,0.0,0.001,0.006,42.11,2.069408
243,3.9,34.83,18.88,1.8,9.75,1.988,4.6,1.77,26,334,448,686,1023,3,0,20,0.177,0.124,1.107,0.063,16,10,37,26,37.5,0.35,0.0,0.0,0.1,0.76,0.0,13.2,64,81,14,0.9,0.39,0.14800000000000002,5.4,167,239,0,0,0.0,0.006999999999999999,0.001,0.0,0.0,0.0,0.027000000000000003,1.107,0.81,0.033,4.567,0.0,0.0,1.65,0.117,0.0,0.003,0.0,0.0,0.0,50.39,4.52683
198,2.46,23.12,13.89,2.4,11.31,5.278,3.584,1.6980000000000002,20,72,74,11,21,0,0,62,0.076,0.096,0.8,0.038,10,10,27,20,9.6,0.03,0.0,5.9,0.3,0.85,0.0,6.6,21,26,11,0.74,0.22,0.065,4.0,89,95,0,0,0.0,0.129,0.108,0.068,0.16,0.18600000000000005,0.597,2.252,1.176,0.117,3.379,0.016,0.001,1.5419999999999998,0.13,0.0,0.01,0.002,0.004,0.0,62.51,1.787216
204,1.65,26.31,16.98,1.1,10.71,4.982,3.392,1.622,19,68,69,0,15,0,0,12,0.069,0.08199999999999999,0.632,0.028,9,12,28,22,6.0,0.03,0.0,23.8,0.3,0.55,0.0,3.8,20,29,9,0.61,0.16,0.038,3.8,88,82,0,0,0.0,0.122,0.102,0.064,0.151,0.175,0.563,2.128,1.11,0.111,3.197,0.015,0.001,1.463,0.134,0.0,0.01,0.002,0.003,0.0,60.81,1.9165540000000003
260,3.26,29.03,16.59,1.9,15.06,7.607,4.708,1.788,59,121,512,0,4695,1,0,40,0.07400000000000001,0.141,0.6990000000000001,0.107,6,8,18,14,27.5,0.08,0.0,6.1,0.6,0.84,0.0,3.9,44,56,15,0.98,0.33,0.07200000000000001,6.2,169,191,0,0,0.0,0.198,0.16399999999999998,0.104,0.246,0.28300000000000003,0.938,3.3280000000000003,1.494,0.193,4.383,0.02,0.001,1.614,0.111,0.0,0.03,0.002,0.006,0.004,51.63,4.8354775000000005
278,4.8,32.6,12.68,0.6,14.4,4.03,6.0429999999999975,3.438,62,81,83,2,22,1,0,52,0.139,0.21600000000000005,0.984,0.049,15,11,37,26,32.8,0.3,0.0,0.5,1.2,0.45,0.0,6.7,90,104,13,1.02,0.53,0.039,9.5,126,260,0,0,0.0,0.042,0.025,0.015,0.033,0.037000000000000005,0.179,2.263,1.426,0.07,5.965,0.004,0.0,3.205,0.208,0.0,0.02,0.0,0.0,0.005,47.0,0.564384
247,3.28,27.37,19.43,0.6,14.22,7.158,3.749,2.62,2,62,68,0,68,0,0,11,0.052000000000000005,0.132,0.63,0.044,8,9,23,17,8.5,0.23,0.0,4.9,0.7,1.13,0.0,10.4,85,84,13,0.6,0.49,0.043,2.8,134,148,0,0,0.0,0.018000000000000002,0.012,0.168,0.243,2.229,1.007,1.6909999999999998,1.716,0.078,3.638,0.015,0.001,2.326,0.292,0.0,0.001,0.0,0.0,0.0,54.27,0.6349319999999999
268,1.5,47.2,23.86,1.2,8.7,1.766,2.685,3.648,45,51,51,0,1,3,0,9,0.062,0.209,0.649,0.03,16,8,35,24,6.2,0.17,0.0,3.2,0.2,1.06,0.0,2.1,56,105,15,0.61,0.49,0.001,3.0,89,172,0,0,0.0,0.0,0.0,0.0,0.001,0.0,0.027000000000000003,1.345,0.384,0.06,2.619,0.004,0.0,3.414,0.205,0.0,0.022,0.001,0.0,0.006,41.7,0.6702060000000002
407,4.5,59.61,25.18,2.1,16.69,2.654,8.317,3.554,42,50,51,0,4,2,0,39,0.204,0.078,1.31,0.038,16,17,43,32,49.5,0.12,0.0,0.0,0.1,0.8,0.0,15.5,22,83,22,0.93,0.87,0.184,7.0,99,275,0,0,0.0,0.0,0.0,0.0,0.008,0.0,0.032,1.568,1.015,0.043,8.238,0.036000000000000004,0.0,3.361,0.193,0.0,0.0,0.0,0.0,0.0,18.25,1.046462
390,5.08,60.17,42.22,1.4,15.65,3.627,6.634,4.416,67,80,84,0,41,2,0,108,0.16,0.163,0.905,0.044,16,12,39,28,48.4,0.13,0.0,0.0,0.5,1.31,0.0,10.6,23,90,19,1.41,0.86,0.07200000000000001,13.7,76,241,0,0,0.0,0.001,0.0,0.001,0.001,0.002,0.023,2.035,1.442,0.042,6.566,0.021,0.0,4.057,0.303,0.0,0.034,0.0,0.002,0.01,18.09,5.3616480000000015
195,2.31,36.47,23.13,0.9,4.87,1.179,1.968,1.393,0,4,5,0,10,4,0,8,0.104,0.116,0.815,0.025,15,4,30,19,5.4,0.06,0.0,1.1,0.0,0.34,0.0,3.0,77,59,8,0.81,0.21,0.038,5.7,82,198,0,0,0.0,0.001,0.0,0.0,0.0,0.0,0.009000000000000001,0.605,0.519,0.002,1.962,0.004,0.0,1.297,0.097,0.0,0.0,0.0,0.0,0.0,55.25,0.199886
230,2.78,43.03,23.68,1.8,5.8,1.408,2.281,1.683,0,0,1,0,14,0,0,36,0.138,0.13,1.198,0.037000000000000005,20,6,40,26,6.8,0.04,0.0,4.3,0.0,0.66,0.0,13.5,83,63,9,1.15,0.28,0.059,6.9,81,201,0,0,0.0,0.001,0.0,0.0,0.001,0.0,0.01,0.7170000000000001,0.625,0.003,2.275,0.005,0.0,1.544,0.138,0.0,0.0,0.0,0.0,0.0,47.17,0.199886
194,2.36,35.69,21.37,1.1,5.12,1.227,2.097,1.47,0,6,26,0,228,0,0,30,0.104,0.111,0.88,0.035,16,6,32,22,5.5,0.03,0.0,1.0,0.0,0.49,0.0,4.0,69,51,9,1.68,0.2,0.066,5.4,90,201,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.009000000000000001,0.632,0.54,0.002,2.091,0.005,0.0,1.361,0.11,0.0,0.0,0.0,0.0,0.0,55.7,0.6114160000000001
199,2.48,38.15,23.63,1.4,4.67,1.128,1.851,1.34,0,0,8,0,78,32,0,46,0.11,0.107,1.257,0.023,16,5,32,21,6.6,0.03,0.0,2.9,0.0,0.74,0.0,4.0,67,58,10,0.96,0.26,0.064,5.6,142,161,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.578,0.5,0.003,1.845,0.004,0.0,1.253,0.087,0.0,0.0,0.0,0.0,0.0,53.56,0.88185
157,1.97,30.77,19.97,1.6,3.45,0.662,1.422,1.158,0,26,29,0,31,8,0,19,0.096,0.066,0.92,0.041,12,4,24,16,5.6,0.0,0.0,2.2,0.1,0.38,0.0,3.6,35,28,8,0.8,0.19,0.042,4.5,83,169,0,0,0.0,0.001,0.0,0.001,0.001,0.003,0.003,0.377,0.251,0.005,1.409,0.006,0.0,1.05,0.106,0.0,0.0,0.0,0.0,0.0,63.09,1.6696360000000003
381,6.44,34.78,14.07,1.3,24.45,6.476,9.817,6.5939999999999985,79,50,51,0,7,6,0,113,0.181,0.276,1.444,0.07,26,13,57,39,60.1,0.28,0.0,1.3,0.8,1.58,0.0,11.9,57,104,13,1.61,0.61,0.069,16.1,139,45,0,0,0.0,0.021,0.015,0.013,0.018000000000000002,0.017,0.104,3.367,2.705,0.05,9.735,0.025,0.0,6.096,0.434,0.0,0.039,0.0,0.001,0.012,33.68,0.9171240000000002
256,1.88,41.15,27.89,1.9,10.15,1.885,4.766,3.102,0,93,101,0,91,0,0,46,0.105,0.093,0.958,0.038,15,5,30,20,6.7,0.01,0.0,5.0,0.2,1.46,0.0,23.7,6,23,7,0.82,0.2,0.054000000000000006,4.8,61,155,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,1.056,0.754,0.006999999999999999,4.742,0.016,0.0,2.813,0.28800000000000003,0.0,0.0,0.0,0.001,0.0,46.22,0.5055940000000001
263,1.94,47.36,31.27,1.2,7.83,1.856,3.362,2.029,0,61,84,0,279,0,0,31,0.101,0.118,1.017,0.058,23,7,46,30,5.5,0.05,0.0,1.0,0.1,1.22,0.0,9.4,90,130,8,1.66,0.14,0.066,1.2,73,353,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,1.1909999999999998,0.609,0.006,3.345,0.011,0.0,1.853,0.175,0.0,0.0,0.0,0.0,0.0,41.1,1.246348
213,1.71,37.79,28.9,1.3,6.87,1.271,3.232,2.086,0,63,76,0,142,38,0,54,0.078,0.068,1.057,0.031,11,4,23,15,6.7,0.01,0.0,4.0,0.1,1.23,0.0,9.4,26,26,11,0.82,0.19,0.067,3.8,160,321,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.716,0.507,0.005,3.214,0.011,0.0,1.915,0.17,0.0,0.0,0.0,0.0,0.0,52.38,0.6114160000000001
257,2.22,35.67,15.44,2.3,12.52,3.029,5.02,3.692,0,0,0,0,2,2,0,4,0.177,0.108,1.354,0.112,16,5,33,21,2.3,0.0,0.0,0.0,0.0,0.77,0.0,6.5,49,60,25,1.4,0.49,0.062,2.8,73,265,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,1.558,1.336,0.003,5.007,0.01,0.0,3.4610000000000003,0.231,0.0,0.0,0.0,0.0,0.0,48.45,1.6226040000000002
274,3.3,41.1,25.75,2.2,11.2,2.044,3.267,5.315,6,6,6,1,5,3,0,42,0.04,0.025,0.33,0.046,22,6,44,28,17.4,0.22,0.0,1.7,0.0,1.42,0.0,2.9,15,33,9,0.42,0.19,0.03,6.1,149,135,0,0,0.0,0.001,0.0,0.0,0.001,0.001,0.037000000000000005,1.5830000000000002,0.416,0.026,3.24,0.0,0.0,5.002,0.31,0.0,0.002,0.0,0.0,0.001,43.5,0.6702060000000002
249,3.48,46.4,27.06,2.5,6.24,1.219,2.739,1.917,15,56,60,0,56,1,0,66,0.16899999999999998,0.141,1.457,0.052000000000000005,20,8,43,29,16.6,0.06,0.0,5.4,0.1,0.99,0.0,18.3,26,44,11,1.33,0.37,0.077,8.4,82,151,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.708,0.466,0.012,2.716,0.01,0.0,1.721,0.183,0.0,0.008,0.0,0.001,0.002,43.17,0.6937220000000001
280,4.36,45.06,28.16,2.1,10.1,1.483,2.897,5.2,12,44,77,0,404,0,0,60,0.168,0.132,1.356,0.08199999999999999,17,14,43,31,16.9,0.05,0.0,4.6,0.1,0.59,0.0,6.6,33,67,24,1.38,0.53,0.21600000000000005,7.4,156,134,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.931,0.513,0.009000000000000001,2.8680000000000003,0.018000000000000002,0.0,4.338,0.851,0.0,0.006,0.0,0.001,0.002,39.63,0.6702060000000002
305,10.1,37.65,21.12,0.7,12.83,6.0920000000000005,4.378,1.679,62,120,124,0,49,1,0,44,0.141,0.245,1.16,0.045,19,13,45,32,30.1,0.19,0.0,0.6,0.3,0.59,0.0,5.4,142,137,13,1.33,0.99,0.054000000000000006,17.9,103,179,0,0,0.0,0.35,0.057,0.073,0.14,0.096,0.835,3.099,1.159,0.343,3.888,0.008,0.0,1.474,0.179,0.0,0.016,0.0,0.001,0.005,38.3,0.70548
558,7.4,45.7,0.75,1.5,38.5,5.502000000000002,8.828,22.228,0,0,0,0,0,0,0,39,0.32299999999999995,0.258,3.8,0.019,46,9,87,55,6.2,0.0,0.0,0.0,0.0,0.55,0.0,16.3,10,60,16,2.6,0.54,0.115,24.5,62,253,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.039,4.016,1.4380000000000002,0.078,8.674,0.075,0.0,19.64,2.588,0.0,0.0,0.0,0.0,0.0,7.4,2.516212
374,8.0,37.2,6.95,1.0,21.9,6.794,11.313,2.575,23,34,35,0,8,0,0,38,0.19,0.26,2.0,0.04,35,25,85,60,20.1,0.2,0.0,0.1,0.0,0.35,0.0,6.9,35,108,15,1.8,0.7,0.08900000000000001,18.9,98,417,0,0,0.0,0.096,0.028,0.033,0.075,0.084,0.3720000000000001,3.403,2.6460000000000004,0.058,11.226,0.004,0.0,2.41,0.139,0.0,0.01,0.0,0.0,0.001,31.4,1.3404120000000002
340,5.9,39.0,21.1,0.9,18.7,4.843,10.226,2.377,26,16,17,3,8,3,0,108,0.312,0.142,2.137,0.1,51,17,104,68,29.1,0.22,0.0,0.0,0.0,0.43,0.0,7.1,25,85,20,1.76,0.75,0.136,12.5,79,455,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.087,2.637,2.111,0.11,10.107,0.006,0.0,2.214,0.11,0.003,0.033,0.008,0.0,0.01,35.6,0.752512
385,4.01,71.83,31.0,1.8,9.02,3.091,2.186,3.36,0,202,202,0,0,0,0,52,0.519,0.495,6.174,0.495,36,54,115,90,8.4,0.01,0.0,0.0,0.0,0.74,0.0,19.4,12,71,11,4.35,0.36,0.062,3.4,86,311,0,0,0.0,0.0,0.0,0.0,0.009000000000000001,0.01,0.049,2.5610000000000004,0.385,0.009000000000000001,2.151,0.022,0.0,2.982,0.3720000000000001,0.0,0.004,0.0,0.0,0.0,14.04,1.3992019999999998
413,6.47,72.05,45.97,0.4,10.98,9.114,1.186,0.239,6,188,188,0,0,0,0,0,0.615,0.696,8.193999999999999,0.8190000000000001,87,11,159,98,31.0,2.0,1.51,15.4,1.7,0.42,0.0,2.5,410,155,21,5.99,0.84,0.049,7.7,254,319,0,0,0.0,0.045,0.05,0.325,0.244,2.72,0.977,3.839,0.8809999999999999,0.009000000000000001,1.177,0.0,0.0,0.23,0.009000000000000001,0.0,0.0,0.0,0.0,0.0,8.69,1.222832
389,6.67,75.47,31.54,4.6,6.67,1.2990000000000002,1.531,2.559,36,235,236,2,3,1,0,58,0.5,0.5670000000000001,6.6670000000000025,0.667,54,20,113,75,47.3,0.08,0.0,0.9,0.1,2.25,0.0,6.9,333,167,69,6.0,1.42,0.173,16.0,238,367,0,0,0.0,0.0,0.0,0.0,0.0,0.004,0.013,1.0759999999999998,0.199,0.04,1.4780000000000002,0.012,0.0,2.329,0.207,0.001,0.012,0.006,0.0,0.004,9.86,1.3992019999999998
346,14.71,65.44,31.62,7.4,5.88,1.471,1.093,2.182,0,0,1,0,12,0,0,37,0.551,0.375,4.412,0.588,0,118,118,118,46.2,1.32,0.0,88.2,0.0,0.24,0.0,36.8,368,294,147,6.62,4.41,0.441,20.6,412,195,0,0,0.0,0.0,0.0,0.0,0.0,0.005,0.012,0.5329999999999999,0.117,0.011,1.082,0.0,0.0,1.963,0.219,0.0,0.0,0.0,0.0,0.0,11.0,1.2581060000000002
409,5.55,74.72,30.56,8.3,9.72,2.721,2.447,3.319,0,0,0,0,4,0,0,61,0.411,0.1,0.478,0.073,16,4,31,20,22.5,0.0,0.0,39.1,0.0,0.98,0.53,8.7,444,244,82,2.7,1.15,0.187,14.8,333,375,1,9,0.0,0.0,0.0,0.0,0.0,0.006999999999999999,0.011,1.5319999999999998,1.156,0.023,2.42,0.003,0.0,2.86,0.455,0.0,0.004,0.0,0.0,0.0,7.74,1.422718
363,14.15,69.63,30.07,5.7,3.11,1.32,1.05,0.589,0,0,0,0,0,0,0,0,8.06,1.92,32.6,2.2,615,0,1046,615,18.4,5.6,5.6,92.3,0.0,8.28,8.28,1.1,504,614,248,11.7,9.96,1.43,7.8,362,308,0,0,0.0,0.0,0.0,0.0,0.0,0.003,0.013,0.644,0.632,0.01,1.03,0.01,0.0,0.565,0.025,0.0,0.0,0.0,0.0,0.0,9.83,1.951828
344,5.43,68.63,42.0,1.7,5.3,0.453,3.107,1.541,1,0,14,0,166,0,0,33,0.921,1.053,11.842,1.105,48,17,98,65,13.9,0.19,0.0,2.4,0.0,0.9,0.02,4.1,1053,247,19,13.16,0.59,0.08199999999999999,14.1,180,157,0,0,0.0,0.001,0.0,0.0,0.001,0.001,0.004,0.28800000000000003,0.11,0.012,3.032,0.063,0.0,1.083,0.458,0.0,0.0,0.0,0.0,0.0,14.0,1.23459
435,6.8,73.7,24.2,3.4,12.6,2.7,4.865,4.334,4,0,117,810,1002,2,0,175,0.44,0.42,3.6,0.21,82,28,167,110,12.0,0.22,0.0,1.5,0.0,1.48,0.46,3.2,83,189,30,2.9,0.8,0.04,20.5,425,9,0,0,0.0,0.015,0.009000000000000001,0.005,0.012,0.013,0.061,1.7380000000000002,0.84,0.051,4.798,0.0,0.0,4.02,0.3,0.0,0.0,0.0,0.0,0.0,5.7,1.904796
433,11.8,67.1,24.2,0.2,13.2,2.352,5.99,2.878,12,6,6,0,1,0,0,9,1.459,3.229,15.966,5.899,74,19,145,93,28.3,0.46,0.0,7.0,0.0,0.46,0.0,1.1,101,179,49,4.18,1.1,0.07400000000000001,17.2,501,300,0,0,0.0,0.081,0.022,0.025,0.055,0.057,0.267,1.142,0.595,0.119,5.851,0.019,0.0,2.847,0.031,0.0,0.0,0.0,0.0,0.0,5.9,2.539728
430,6.69,77.66,24.85,3.4,10.6,1.633,2.509,5.388,0,0,0,0,1,0,0,77,0.265,0.317,4.439,0.156,72,19,142,91,5.9,0.0,0.0,0.0,0.0,1.51,0.0,14.3,77,185,40,3.78,0.96,0.17,6.3,170,459,0,0,0.0,0.004,0.0,0.002,0.0,0.002,0.01,1.058,0.465,0.009000000000000001,2.459,0.035,0.001,4.757,0.622,0.0,0.005,0.0,0.0,0.0,3.39,1.069978
455,7.3,70.73,15.48,6.9,16.4,3.21,3.47,8.474,0,0,0,0,4,0,0,180,0.284,0.146,4.022,0.244,2,36,40,38,27.2,0.0,0.0,0.0,0.0,1.55,0.0,14.2,92,302,72,2.64,1.64,0.274,9.9,283,699,0,0,0.0,0.0,0.005,0.058,0.047,0.34700000000000003,0.15,1.812,0.657,0.014,3.403,0.042,0.003,7.474,0.987,0.0,0.006,0.001,0.0,0.0,2.75,1.740184
510,6.64,61.3,8.18,2.3,26.43,5.562,6.553,13.137,0,0,0,0,0,0,0,12,0.416,0.456,4.352,0.063,84,8,150,92,9.6,0.0,0.0,0.0,0.0,3.03,0.0,69.3,120,248,18,4.03,0.49,0.104,6.7,118,726,0,0,0.0,0.008,0.0,0.004,0.009000000000000001,0.005,0.047,3.17,2.099,0.024,6.399,0.106,0.01,11.571,1.546,0.0,0.01,0.0,0.0,0.0,3.14,0.717238
510,6.64,61.3,8.18,2.3,26.43,5.562,6.553,13.137,0,0,0,0,0,0,0,12,0.416,0.456,4.352,0.063,84,8,150,92,9.6,0.0,0.0,0.0,0.0,3.03,0.0,69.3,120,248,18,4.03,0.49,0.104,6.7,118,726,0,0,0.0,0.008,0.0,0.004,0.009000000000000001,0.005,0.047,3.17,2.099,0.024,6.399,0.106,0.01,11.571,1.546,0.0,0.01,0.0,0.0,0.0,3.14,0.7054800000000001
